episode,t,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shipping_to_warehouse_0,shipping_to_warehouse_1,timestep_reward,total_reward
0,31,5.0,7.0,3.0,10,5.0,0.0,23.0,3626.0
0,32,0.0,6.0,7.0,0,0.0,5.0,94.0,3720.0
0,33,0.0,4.0,5.0,0,0.0,0.0,334.0,4054.0
0,34,5.0,7.0,3.0,10,5.0,0.0,-71.0,3983.0
0,35,0.0,6.0,6.0,0,0.0,5.0,194.0,4177.0
0,36,0.0,4.0,5.0,0,0.0,0.0,240.0,4417.0
0,37,5.0,7.0,3.0,10,5.0,0.0,-71.0,4346.0
0,38,0.0,5.0,7.0,0,0.0,5.0,194.0,4540.0
0,39,0.0,4.0,5.0,0,0.0,0.0,238.0,4778.0
0,40,5.0,7.0,3.0,10,5.0,0.0,-71.0,4707.0
0,41,0.0,6.0,6.0,0,0.0,5.0,194.0,4901.0
0,42,0.0,5.0,4.0,0,0.0,0.0,240.0,5141.0
0,43,5.0,3.0,8.0,10,0.0,5.0,-194.0,4947.0
0,44,0.0,7.0,7.0,0,5.0,0.0,105.0,5052.0
0,45,0.0,6.0,5.0,0,0.0,0.0,230.0,5282.0
0,46,0.0,4.0,3.0,0,0.0,0.0,346.0,5628.0
0,47,0.0,8.0,6.0,10,5.0,5.0,-209.0,5419.0
0,48,0.0,4.0,4.0,0,0.0,0.0,532.0,5951.0
0,49,0.0,8.0,8.0,10,5.0,5.0,-315.0,5636.0
1,0,0.0,4.0,3.0,10,5.0,5.0,-175.0,-175.0
1,1,0.0,8.0,6.0,10,5.0,5.0,-209.0,-384.0
1,2,0.0,7.0,4.0,0,0.0,0.0,232.0,-152.0
1,3,5.0,6.0,7.0,10,0.0,5.0,-202.0,-354.0
1,4,5.0,4.0,5.0,0,0.0,0.0,324.0,-30.0
1,5,0.0,6.0,3.0,0,5.0,0.0,419.0,389.0
1,6,5.0,5.0,7.0,10,0.0,5.0,-292.0,97.0
1,7,5.0,3.0,5.0,0,0.0,0.0,328.0,425.0
1,8,0.0,7.0,3.0,0,5.0,0.0,223.0,648.0
1,9,5.0,6.0,6.0,10,0.0,5.0,-196.0,452.0
1,10,5.0,5.0,5.0,0,0.0,0.0,130.0,582.0
1,11,5.0,3.0,3.0,0,0.0,0.0,340.0,922.0
1,12,5.0,6.0,6.0,10,5.0,5.0,-115.0,807.0
1,13,5.0,4.0,5.0,0,0.0,0.0,230.0,1037.0
1,14,0.0,7.0,4.0,0,5.0,0.0,219.0,1256.0
1,15,5.0,6.0,7.0,10,0.0,5.0,-202.0,1054.0
1,16,5.0,4.0,6.0,0,0.0,0.0,224.0,1278.0
1,17,0.0,6.0,5.0,0,5.0,0.0,313.0,1591.0
1,18,0.0,3.0,3.0,0,0.0,0.0,446.0,2037.0
1,19,0.0,7.0,6.0,10,5.0,5.0,-205.0,1832.0
1,20,0.0,6.0,5.0,0,0.0,0.0,136.0,1968.0
1,21,0.0,4.0,3.0,0,0.0,0.0,346.0,2314.0
1,22,0.0,8.0,7.0,10,5.0,5.0,-309.0,2005.0
1,23,0.0,6.0,6.0,0,0.0,0.0,226.0,2231.0
1,24,0.0,5.0,4.0,0,0.0,0.0,240.0,2471.0
1,25,5.0,4.0,7.0,10,0.0,5.0,-194.0,2277.0
1,26,0.0,7.0,5.0,0,5.0,0.0,307.0,2584.0
1,27,0.0,5.0,3.0,0,0.0,0.0,342.0,2926.0
1,28,5.0,3.0,6.0,10,0.0,5.0,-88.0,2838.0
1,29,0.0,6.0,5.0,0,5.0,0.0,217.0,3055.0
1,30,0.0,4.0,4.0,0,0.0,0.0,246.0,3301.0
1,31,0.0,8.0,8.0,10,5.0,5.0,-315.0,2986.0
1,32,0.0,7.0,6.0,0,0.0,0.0,220.0,3206.0
1,33,0.0,6.0,4.0,0,0.0,0.0,236.0,3442.0
1,34,5.0,4.0,8.0,10,0.0,5.0,-198.0,3244.0
1,35,0.0,8.0,6.0,0,5.0,0.0,201.0,3445.0
1,36,0.0,7.0,4.0,0,0.0,0.0,232.0,3677.0
1,37,5.0,5.0,7.0,10,0.0,5.0,-102.0,3575.0
