Date,Total_Demand
2013-07-18,101300.0
2013-07-19,45500.0
2013-07-22,100000.0
2013-07-23,204000.0
2013-07-24,97500.0
2013-07-25,75500.0
2013-07-26,55000.0
2013-07-29,67200.0
2013-07-30,126000.0
2013-07-31,126200.0
2013-08-01,90300.0
2013-08-02,73400.0
2013-08-05,117100.0
2013-08-06,81100.0
2013-08-07,113500.0
2013-08-08,120700.0
2013-08-09,50200.0
2013-08-12,61500.0
2013-08-13,10300.0
2013-08-14,15000.0
2013-08-15,10000.0
2013-08-16,44000.0
2013-08-19,113000.0
2013-08-20,44900.0
2013-08-21,133000.0
2013-08-22,94400.0
2013-08-23,26300.0
2013-08-26,117500.0
2013-08-27,14300.0
2013-08-28,146000.0
2013-08-29,72000.0
2013-08-30,103100.0
2013-09-02,76200.0
2013-09-03,181000.0
2013-09-04,39100.0
2013-09-05,67000.0
2013-09-06,19100.0
2013-09-09,90200.0
2013-09-10,57100.0
2013-09-11,26500.0
2013-09-12,87400.0
2013-09-13,61000.0
2013-09-17,43400.0
2013-09-18,71000.0
2013-09-19,22300.0
2013-09-20,18000.0
2013-09-24,230000.0
2013-09-25,185100.0
2013-09-26,63100.0
2013-09-27,12000.0
2013-09-30,147000.0
2013-10-01,144800.0
2013-10-02,78000.0
2013-10-03,86500.0
2013-10-04,95100.0
2013-10-07,83200.0
2013-10-08,157300.0
2013-10-09,62100.0
2013-10-10,78900.0
2013-10-11,24200.0
2013-10-15,72900.0
2013-10-16,22200.0
2013-10-17,236100.0
2013-10-18,64300.0
2013-10-21,134300.0
2013-10-22,204000.0
2013-10-23,127200.0
2013-10-24,37000.0
2013-10-25,204300.0
2013-10-28,137300.0
2013-10-29,94400.0
2013-10-30,73100.0
2013-10-31,95500.0
2013-11-01,182500.0
2013-11-05,221700.0
2013-11-06,187100.0
2013-11-07,70100.0
2013-11-08,29300.0
2013-11-11,191000.0
2013-11-12,124700.0
2013-11-13,111900.0
2013-11-14,113000.0
2013-11-15,82700.0
2013-11-17,2000.0
2013-11-18,71500.0
2013-11-19,95300.0
2013-11-20,91000.0
2013-11-21,201800.0
2013-11-22,93000.0
2013-11-25,110300.0
2013-11-26,91500.0
2013-11-27,38200.0
2013-11-28,34200.0
2013-11-29,116100.0
2013-12-02,174900.0
2013-12-03,87600.0
2013-12-04,74500.0
2013-12-05,78800.0
2013-12-06,112000.0
2013-12-09,82300.0
2013-12-10,95100.0
2013-12-11,182600.0
2013-12-12,24700.0
2013-12-13,107600.0
2013-12-16,98500.0
2013-12-17,267000.0
2013-12-18,74900.0
2013-12-19,203800.0
2013-12-20,42000.0
2013-12-24,96000.0
2013-12-25,82900.0
2013-12-26,183000.0
2014-01-06,63500.0
2014-01-07,60200.0
2014-01-08,166200.0
2014-01-09,92300.0
2014-01-10,233100.0
2014-01-13,40000.0
2014-01-14,75000.0
2014-01-15,210600.0
2014-01-16,151000.0
2014-01-17,37000.0
2014-01-20,331100.0
2014-01-21,160500.0
2014-01-22,95700.0
2014-01-23,99300.0
2014-01-24,31100.0
2014-01-27,68300.0
2014-01-28,98100.0
2014-01-29,70600.0
2014-01-30,7800.0
2014-01-31,215800.0
2014-02-03,58300.0
2014-02-04,152100.0
2014-02-05,180000.0
2014-02-06,127800.0
2014-02-10,84200.0
2014-02-12,159300.0
2014-02-13,127500.0
2014-02-14,91900.0
2014-02-17,110500.0
2014-02-18,47000.0
2014-02-19,273900.0
2014-02-20,48500.0
2014-02-21,72200.0
2014-02-24,139200.0
2014-02-25,146600.0
2014-02-26,96600.0
2014-02-27,118100.0
2014-02-28,171100.0
2014-03-03,55300.0
2014-03-04,79400.0
2014-03-05,74300.0
2014-03-06,82000.0
2014-03-07,55500.0
2014-03-10,93100.0
2014-03-11,191800.0
2014-03-12,144500.0
2014-03-13,105300.0
2014-03-14,198200.0
2014-03-16,150000.0
2014-03-17,117800.0
2014-03-18,25000.0
2014-03-19,178800.0
2014-03-20,50600.0
2014-03-24,127600.0
2014-03-25,194900.0
2014-03-26,136300.0
2014-03-27,128000.0
2014-03-28,76100.0
2014-03-31,433000.0
2014-04-01,169000.0
2014-04-02,86300.0
2014-04-03,114000.0
2014-04-04,221000.0
2014-04-07,36700.0
2014-04-08,36200.0
2014-04-09,37100.0
2014-04-10,22000.0
2014-04-11,60200.0
2014-04-14,72200.0
2014-04-15,202600.0
2014-04-16,204800.0
2014-04-17,6200.0
2014-04-18,50400.0
2014-04-21,100800.0
2014-04-22,123500.0
2014-04-23,98300.0
2014-04-24,88500.0
2014-04-25,87100.0
2014-04-28,135500.0
2014-04-30,27500.0
2014-05-01,181000.0
2014-05-02,75000.0
2014-05-06,3000.0
2014-05-07,73000.0
2014-05-08,55600.0
2014-05-09,123000.0
2014-05-12,152500.0
2014-05-13,11000.0
2014-05-14,48400.0
2014-05-15,76500.0
2014-05-16,25500.0
2014-05-19,65300.0
2014-05-20,89700.0
2014-05-21,136300.0
2014-05-22,44000.0
2014-05-23,111000.0
2014-05-26,7900.0
2014-05-27,26700.0
2014-05-28,76300.0
2014-05-29,197500.0
2014-05-30,83100.0
2014-06-02,116000.0
2014-06-03,96000.0
2014-06-04,70200.0
2014-06-05,67100.0
2014-06-06,39200.0
2014-06-09,74000.0
2014-06-10,192000.0
2014-06-11,68100.0
2014-06-12,102800.0
2014-06-13,149700.0
2014-06-16,73200.0
2014-06-17,91200.0
2014-06-18,52700.0
2014-06-19,80000.0
2014-06-20,21000.0
2014-06-23,150000.0
